weg_num,foto_id,Color,Depth,Lat,Lon,Uhrzeit,jpg_path
0917_056,3,92,91,51.54068833333334,7.931443333333334,14:26:46.183763,C:/Users/cyh/Documents/sample/jpg/0917_056-92.jpg
0917_056,4,147,146,51.54094833333333,7.931423333333333,14:26:51.122588,C:/Users/cyh/Documents/sample/jpg/0917_056-147.jpg
0917_056,8,415,414,51.541905,7.931193333333333,14:27:08.119977,C:/Users/cyh/Documents/sample/jpg/0917_056-415.jpg
0917_056,9,475,474,51.542138333333334,7.93113,14:27:12.141347,C:/Users/cyh/Documents/sample/jpg/0917_056-475.jpg
0917_056,11,595,594,51.542609999999996,7.930963333333334,14:27:20.127683,C:/Users/cyh/Documents/sample/jpg/0917_056-595.jpg
0917_056,12,655,654,51.54286666666667,7.930904999999999,14:27:25.188415,C:/Users/cyh/Documents/sample/jpg/0917_056-655.jpg
0917_056,13,731,731,51.54308833333333,7.930829999999999,14:27:29.120776,C:/Users/cyh/Documents/sample/jpg/0917_056-731.jpg
0917_056,14,790,790,51.54334833333334,7.930718333333334,14:27:34.191776,C:/Users/cyh/Documents/sample/jpg/0917_056-790.jpg
0917_056,15,866,866,51.54359666666666,7.930628333333334,14:27:38.166213,C:/Users/cyh/Documents/sample/jpg/0917_056-866.jpg
0917_056,16,926,926,51.54383666666666,7.930534999999999,14:27:42.158650,C:/Users/cyh/Documents/sample/jpg/0917_056-926.jpg
0917_056,18,1042,1030,51.54431833333333,7.9303,14:27:51.173286,C:/Users/cyh/Documents/sample/jpg/0917_056-1042.jpg
0917_056,19,1080,1068,51.54457833333333,7.930176666666667,14:27:56.233453,C:/Users/cyh/Documents/sample/jpg/0917_056-1080.jpg
0917_056,20,1118,1106,51.54486,7.930223333333333,14:28:01.172192,C:/Users/cyh/Documents/sample/jpg/0917_056-1118.jpg
0917_056,21,1155,1142,51.545145000000005,7.930163333333333,14:28:05.178975,C:/Users/cyh/Documents/sample/jpg/0917_056-1155.jpg
0917_056,22,1209,1196,51.54537333333333,7.9301,14:28:08.161233,C:/Users/cyh/Documents/sample/jpg/0917_056-1209.jpg
